frame,series,n,mean_delta,median_delta,max_abs_delta
df,CPI,381,0.0,0.0,0.0
df,HousingIndex_USA,381,0.3836745406824139,0.5,6.96999999999997
df,HousingIndex_Mountain,381,-0.173832020997375,0.1600000000000108,11.819999999999936
df,Mortgage_Rate,381,-0.0012335958005249348,0.0,0.040000000000000036
df,Consumer_Inflation_Rate,381,0.0,0.0,0.0
df,House_Inflation_Rate_USA,381,-0.047591401430515,-0.01687092560065384,4.873866350907896
df,House_Inflation_Rate_Mountain,381,-0.04738502707316346,-0.015914945037053485,5.983459724259355
df1,CPI,619,0.0,0.0,0.0
df1,Mortgage_Rate,619,-0.0009208400646203465,0.0,0.08000000000000185
df1,Consumer_Inflation_Rate,619,0.0,0.0,0.0
df2,CPI,179,0.0,0.0,0.0
df2,HousingIndex_Colorado,179,-0.15346368715084005,-0.009999999999990905,6.490000000000009
df2,HousingIndex_Denver,179,-0.15379888268156544,-0.09000000000000341,3.7700000000000387
df2,HousingIndex_Boulder,179,-0.12798882681564197,-0.04999999999998295,2.9599999999999795
df2,Mortgage_Rate,179,-0.0005027932960893946,0.0,0.040000000000000036
df2,Consumer_Inflation_Rate,179,0.0,0.0,0.0
df2,House_Inflation_Rate_Colorado,179,-0.013839130960516576,-0.0036418750947175837,1.0256794319867701
df2,House_Inflation_Rate_Denver,179,0.006922183415962239,0.0007604049536258373,1.7026448329570343
df2,House_Inflation_Rate_Boulder,179,-0.00521968192496456,-0.009022884644481977,3.321363190981863
