name,x_col,y_col,slope,intercept,r_value,p_value,std_err,sample_size
House Inflation Rate (USA) vs Consumer Inflation Rate,Consumer_Inflation_Rate,House_Inflation_Rate_USA,1.0815555381375666,1.674520951713017,0.3354165015182581,1.676701049907687e-12,0.14857967559352217,420
House Inflation Rate (Mountain) vs Consumer Inflation Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Mountain,1.377016963698594,2.057276044370045,0.29219063816352986,1.0345242142886432e-09,0.22044806899720995,420
House Inflation Rate (Mountain) vs House Inflation Rate (USA),House_Inflation_Rate_USA,House_Inflation_Rate_Mountain,1.2970013185531089,-0.1810482166627514,0.8874253382405298,1.1234714955869606e-142,0.03295153632497855,420
Mortgage Rate vs Consumer Inflation Rate (Monthly Series),Consumer_Inflation_Rate,Mortgage_Rate,0.2178999693630044,5.334726091119444,0.19350366102780905,6.562473210419268e-05,0.05403721027664282,420
House Inflation Rate (USA) vs Mortgage Rate (Monthly Series),Mortgage_Rate,House_Inflation_Rate_USA,-0.5465362289559071,7.687921391158325,-0.1908633482641928,8.280958402545042e-05,0.13748337290443283,420
House Inflation Rate (Boulder) vs Consumer Inflation Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Boulder,0.7050413685295969,3.4149141936582046,0.34000458777367676,1.4000050146155648e-06,0.14147399694772494,192
House Inflation Rate (Colorado) vs Consumer Inflation Rate,Consumer_Inflation_Rate,House_Inflation_Rate_Colorado,0.758248900279185,2.795382493223502,0.3894662319267762,2.3586014065256495e-08,0.13009003269246788,192
House Inflation Rate (Boulder) vs House Inflation Rate (Colorado),House_Inflation_Rate_Colorado,House_Inflation_Rate_Boulder,0.94642276157116,0.723832395289862,0.8885816366509498,3.2098502627439175e-66,0.035445190175806,192
Mortgage Rate vs Consumer Inflation Rate (Quarterly Series),Consumer_Inflation_Rate,Mortgage_Rate,0.7222441805037105,4.973563666291174,0.6036404328226335,1.9098764357599878e-20,0.06920334715343972,192
House Inflation Rate (Boulder) vs Mortgage Rate (Quarterly Series),Mortgage_Rate,House_Inflation_Rate_Boulder,0.12382591899052232,5.023598489126948,0.07144757059571903,0.32472181049846766,0.1254110981327669,192
Mortgage Rate vs Consumer Inflation Rate (Long Monthly Series),Consumer_Inflation_Rate,Mortgage_Rate,0.641123447534048,5.161801707425906,0.5857890064362967,5.779840048693419e-62,0.034605989424173984,659
